Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
trainable params: 80,740,352 || all params: 7,696,356,864 || trainable%: 1.0491
{'loss': '0.2538', 'grad_norm': '0.2862', 'learning_rate': '4.252e-05', 'epoch': '0.575'}
{'loss': '0.254', 'grad_norm': '0.2351', 'learning_rate': '4.202e-05', 'epoch': '0.58'}
{'loss': '0.2523', 'grad_norm': '0.212', 'learning_rate': '4.152e-05', 'epoch': '0.585'}
{'loss': '0.2506', 'grad_norm': '0.2186', 'learning_rate': '4.102e-05', 'epoch': '0.59'}
{'loss': '0.2519', 'grad_norm': '0.2397', 'learning_rate': '4.052e-05', 'epoch': '0.595'}
{'loss': '0.2503', 'grad_norm': '0.2273', 'learning_rate': '4.002e-05', 'epoch': '0.6'}

{'loss': '0.2494', 'grad_norm': '0.2375', 'learning_rate': '3.952e-05', 'epoch': '0.605'}
{'loss': '0.2516', 'grad_norm': '0.2033', 'learning_rate': '3.902e-05', 'epoch': '0.61'}
{'loss': '0.2505', 'grad_norm': '0.2366', 'learning_rate': '3.852e-05', 'epoch': '0.615'}
{'loss': '0.2512', 'grad_norm': '0.2093', 'learning_rate': '3.802e-05', 'epoch': '0.62'}
{'loss': '0.2521', 'grad_norm': '0.2054', 'learning_rate': '3.752e-05', 'epoch': '0.625'}
{'loss': '0.2493', 'grad_norm': '0.2159', 'learning_rate': '3.702e-05', 'epoch': '0.63'}
{'loss': '0.252', 'grad_norm': '0.2395', 'learning_rate': '3.652e-05', 'epoch': '0.635'}
{'loss': '0.2492', 'grad_norm': '0.2102', 'learning_rate': '3.602e-05', 'epoch': '0.64'}
{'loss': '0.2487', 'grad_norm': '0.2506', 'learning_rate': '3.552e-05', 'epoch': '0.645'}
{'loss': '0.2524', 'grad_norm': '0.2265', 'learning_rate': '3.502e-05', 'epoch': '0.65'}
{'loss': '0.2522', 'grad_norm': '0.2386', 'learning_rate': '3.452e-05', 'epoch': '0.655'}
{'loss': '0.2512', 'grad_norm': '0.2225', 'learning_rate': '3.402e-05', 'epoch': '0.66'}
{'loss': '0.2489', 'grad_norm': '0.2278', 'learning_rate': '3.352e-05', 'epoch': '0.665'}
{'loss': '0.2495', 'grad_norm': '0.2326', 'learning_rate': '3.302e-05', 'epoch': '0.67'}
{'loss': '0.2495', 'grad_norm': '0.2271', 'learning_rate': '3.252e-05', 'epoch': '0.675'}
{'loss': '0.2504', 'grad_norm': '0.2525', 'learning_rate': '3.202e-05', 'epoch': '0.68'}
{'loss': '0.2499', 'grad_norm': '0.2354', 'learning_rate': '3.152e-05', 'epoch': '0.685'}
{'loss': '0.2481', 'grad_norm': '0.2234', 'learning_rate': '3.102e-05', 'epoch': '0.69'}
{'loss': '0.2513', 'grad_norm': '0.2302', 'learning_rate': '3.052e-05', 'epoch': '0.695'}
{'loss': '0.2526', 'grad_norm': '0.2491', 'learning_rate': '3.002e-05', 'epoch': '0.7'}

{'loss': '0.2522', 'grad_norm': '0.2383', 'learning_rate': '2.952e-05', 'epoch': '0.705'}
{'loss': '0.2499', 'grad_norm': '0.2425', 'learning_rate': '2.902e-05', 'epoch': '0.71'}
{'loss': '0.2455', 'grad_norm': '0.2529', 'learning_rate': '2.852e-05', 'epoch': '0.715'}
{'loss': '0.2517', 'grad_norm': '0.2216', 'learning_rate': '2.802e-05', 'epoch': '0.72'}
{'loss': '0.2479', 'grad_norm': '0.2328', 'learning_rate': '2.752e-05', 'epoch': '0.725'}
{'loss': '0.2501', 'grad_norm': '0.2374', 'learning_rate': '2.702e-05', 'epoch': '0.73'}
{'loss': '0.2526', 'grad_norm': '0.2115', 'learning_rate': '2.652e-05', 'epoch': '0.735'}
{'loss': '0.2456', 'grad_norm': '0.2429', 'learning_rate': '2.602e-05', 'epoch': '0.74'}
{'loss': '0.2501', 'grad_norm': '0.5305', 'learning_rate': '2.552e-05', 'epoch': '0.745'}
{'loss': '0.249', 'grad_norm': '0.2318', 'learning_rate': '2.502e-05', 'epoch': '0.75'}
{'loss': '0.2462', 'grad_norm': '0.2194', 'learning_rate': '2.452e-05', 'epoch': '0.755'}
{'loss': '0.2445', 'grad_norm': '0.2402', 'learning_rate': '2.402e-05', 'epoch': '0.76'}
{'loss': '0.2513', 'grad_norm': '0.2379', 'learning_rate': '2.352e-05', 'epoch': '0.765'}
{'loss': '0.2478', 'grad_norm': '0.247', 'learning_rate': '2.302e-05', 'epoch': '0.77'}
{'loss': '0.2468', 'grad_norm': '0.2372', 'learning_rate': '2.252e-05', 'epoch': '0.775'}
{'loss': '0.2505', 'grad_norm': '0.2209', 'learning_rate': '2.202e-05', 'epoch': '0.78'}
{'loss': '0.2497', 'grad_norm': '0.2633', 'learning_rate': '2.152e-05', 'epoch': '0.785'}
{'loss': '0.2463', 'grad_norm': '0.2438', 'learning_rate': '2.102e-05', 'epoch': '0.79'}
{'loss': '0.2477', 'grad_norm': '0.2267', 'learning_rate': '2.052e-05', 'epoch': '0.795'}
{'loss': '0.2475', 'grad_norm': '0.234', 'learning_rate': '2.002e-05', 'epoch': '0.8'}

{'loss': '0.247', 'grad_norm': '0.236', 'learning_rate': '1.952e-05', 'epoch': '0.805'}
{'loss': '0.2466', 'grad_norm': '0.2539', 'learning_rate': '1.902e-05', 'epoch': '0.81'}
{'loss': '0.2463', 'grad_norm': '0.2645', 'learning_rate': '1.852e-05', 'epoch': '0.815'}
{'loss': '0.2501', 'grad_norm': '0.2333', 'learning_rate': '1.802e-05', 'epoch': '0.82'}
